id	sentence	raw	ipa	gloss_en	features	notes
ar-PS-001	مَرْحَبَا، كِيفَك؟ بِتْمَنَّى تْكُون مَبْسُوط.	مرحبا، كيفك؟ بتمنى تكون مبسوط.	ˈmarħabaː ˈkiːfak bitˈmannaː ˈtkuːn mabˈsuːtˤ	Hello, how are you? I hope you are well.	kaf;emphatic;pharyngeal;geminate;long_vowel;question	kīfak (cowell1964); b-imperfect بِتْمَنَّى; initial cluster tk- (Levantine syncope, almbark2015)
ar-PS-002	اَلزَّيت وَالزَّعْتَر عَ الطَّاوْلِة يَا سِتِّي.	الزيت والزعتر ع الطاولة يا ستي.	azˈzeːt wazˈzaʕtar ˈʕa tˤˈtˤɑːwle ˈjaː ˈsittiː	The oil and the za'atar are on the table, grandma.	ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	zēt u zaʕtar (Palestinian staple collocation); sun assimilation az-z; sittī 'grandma' geminate تّ; diphthong /aj/→[eː] monophthongisation (zēt) per (fadda2016)
ar-PS-003	مَا بِدِّيش أَرُوح عَالْمَدْرَسِة بُكْرَا الصُّبِح.	ما بديش أروح عالمدرسة بكرا الصبح.	ˈmaː bidˈdiːʃ ʔaˈruːħ ʕaːlˈmadrase ˈbukraː ˈɑsˤsˤubiħ	I don't want to go to school tomorrow morning.	kaf;hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;negation	circumfix negation mā...š (cotter2016: Gazan/rural -š); imala madrase (fadda2016)
ar-PS-004	قَدَّيش صَارُوا التَّلَامِيذ فِي صَفّ الْقُدْس؟	قديش صاروا التلاميذ في صف القدس؟	ʔadˈdeːʃ ˈsˤɑːruː ttalaːˈmiːd ˈfiː ˈsˤɑff alˈʔuds	How many pupils are there now in the Jerusalem class?	qaf;interdental;sun_assim;emphatic;geminate;long_vowel;diphthong;question;number	ʔaddēš; ق=/ʔ/ urban (cotter2016 on Gaza City /ʔ/); ذ→/d/ in talāmīd (urban stop reflex)
ar-PS-005	جِدِّي زَرَع ظَهْر الْجَبَل زَيْتُون وتِين.	جدي زرع ظهر الجبل زيتون وتين.	ˈʒiddiː ˈzaraʕ ˈdˤɑhr ˈalʒabal zeːˈtuːn ˈwtiːn	My grandfather planted the hillside with olives and figs.	jim;interdental;emphatic;pharyngeal;geminate;long_vowel;statement	ج=/ʒ/ urban Palestinian (almbark2015); ظ urban reflex; diphthong ay in زَيْتُون
ar-PS-006	رُوح عَ السُّوق وْجِيب خُبِز طَازَة.	روح ع السوق وجيب خبز طازة.	ˈruːħ ˈʕa sˈsuːʔ ˈwʒiːb ˈxubiz ˈtˤɑːza	Go to the market and bring fresh bread.	qaf;jim;ta_marbuta;sun_assim;emphatic;pharyngeal;geminate;long_vowel;imperative	imperatives ruh/jib; ʕa+article contraction; urban qaf→ʔ in as-suʔ (cotter2016)
ar-PS-007	الدِّنْيَا بَرْد الْيَوْم وْمَا فِي شَمْس.	الدنيا برد اليوم وما في شمس.	adˈdinjaː ˈbard alˈjoːm ˈwmaː ˈfiː ˈʃams	The weather is cold today and there's no sun.	sun_assim;geminate;long_vowel;diphthong;statement;negation	id-dinya bard 'it's cold (weather)' impersonal (cowell1964); existential negation mā fī 'there isn't' (cowell1964); il-yōm 'today' with /aw/→[oː] monophthong (fadda2016; almbark2015)
ar-PS-008	بِكَمّ الْكِيلُو بَنْدُورَة؟ بِعَشَر شَوَاقِل.	بكم الكيلو بندورة؟ بعشر شواقل.	biˈkamm alˈkiːluː banˈduːra ˈbiʕaʃar ʃaˈwaːʔil	How much is a kilo of tomatoes? Ten shekels.	qaf;kaf;ta_marbuta;pharyngeal;geminate;long_vowel;question;number	bikam 'how much' (cowell1964); bandōra 'tomato' Levantine (cowell1964); shawāqil 'shekels' with ق=/ʔ/ urban (cotter2016); kīlū mater spelling كِيلُو
ar-PS-009	الْمَوْعِد السَّاعَة أَرْبَعَة الْعَصِر.	الموعد الساعة أربعة العصر.	alˈmoːʕid asˈsaːʕa ˈʔarbaʕa ˈalʕɑsˤir	The appointment is at four o'clock in the afternoon.	hamza;ta_marbuta;sun_assim;emphatic;pharyngeal;long_vowel;diphthong;statement;number	mawʕid→[moːʕid] /aw/→[oː] (fadda2016); is-sāʕa arbaʕa 'four o'clock' (cowell1964); sun assimilation as-s in السَّاعَة
ar-PS-010	أَنَا سَاكِن فِي رَام اللَّه مَعَ أَهْلِي.	أنا ساكن في رام الله مع أهلي.	ˈʔanaː ˈsaːkin ˈfiː ˈraːm ˈallah ˈmaʕa ˈʔahliː	I live in Ramallah with my family.	kaf;hamza;sun_assim;pharyngeal;geminate;long_vowel;statement	sākin 'residing/living' active participle (cowell1964); ahl 'family, folks' (cowell1964); Ramallah placename
ar-PS-011	لِفّ عَ الْيَمِين وْكَمِّل دُغْرِي.	لف ع اليمين وكمل دغري.	ˈliff ˈʕa ljaˈmiːn ˈwkammil ˈduɣriː	Turn right and keep going straight.	kaf;pharyngeal;geminate;long_vowel;imperative	liff 'turn' and kammil 'continue' imperatives (cowell1964); dughri 'straight ahead' Levantine (cowell1964); ʕa+article elision ʕa l-yamīn
ar-PS-012	الْأَكِل كَان زَاكِي كْتِير.	الأكل كان زاكي كتير.	ˈalʔakil ˈkaːn ˈzaːkiː ˈktiːr	The food was very tasty.	kaf;hamza;long_vowel;statement	kān past copula (cowell1964); zāki 'tasty' Levantine (cowell1964); ktīr 'very, a lot' with initial cluster (cowell1964)
ar-PS-013	الدُّكَّان لِسَّا مَفْتُوح؟ لَأْ، مِش مَفْتُوح.	الدكان لسا مفتوح؟ لأ، مش مفتوح.	addukˈkaːn ˈlissaː mafˈtuːħ ˈlaʔa ˈmiʃ mafˈtuːħ	Is the shop still open? No, it's not open.	kaf;hamza;sun_assim;pharyngeal;geminate;long_vowel;question;negation	dukkān 'shop', lissa 'still, yet' (cowell1964); predicate negation miš (cowell1964); laʔ 'no'; sun assimilation ad-d in الدُّكَّان
ar-PS-014	كَمّ وَلَد عِنْدَك؟	كم ولد عندك؟	ˈkamm ˈwalad ˈʕindak	How many children do you have?	kaf;pharyngeal;geminate;question;number	kam 'how many' + singular count noun walad (cowell1964); ʕindak 'you have' pseudo-verb (cowell1964)
ar-PS-015	إِذَا بِتِيجِي بُكْرَا مِنْرُوح عَ الْبَحْر.	إذا بتيجي بكرا منروح ع البحر.	ˈʔidaː biˈtiːʒiː ˈbukraː minˈruːħ ˈʕa lˈbaħr	If you come tomorrow, we'll go to the sea.	jim;interdental;kaf;hamza;pharyngeal;long_vowel;statement	iza conditional (cowell1964); b-imperfect bitīji 'you come' with ج=/ʒ/ urban (almbark2015); m(n)-imperfect 1pl minrūḥ (cowell1964); إذا ذ→[d] urban stop reflex (cotter2016)
ar-PS-016	رُحِت عَ السُّوق وِشْتَرَيْت خُضَار.	رحت ع السوق وشتريت خضار.	ˈruħit ˈʕa sˈsuːʔ wiʃtaˈreːt xuˈdˤɑːr	I went to the market and bought vegetables.	qaf;sun_assim;emphatic;pharyngeal;geminate;long_vowel;diphthong;statement	ruḥt 1sg perfect (cowell1964); ishtarēt 'I bought' with /aj/→[eː] (fadda2016); ق=/ʔ/ in as-sūʔ (cotter2016); sun assimilation as-s
ar-PS-017	رَح نْسَافِر عَ الْأُرْدُن الْأُسْبُوع الْجَاي.	رح نسافر ع الأردن الأسبوع الجاي.	ˈraħ ˈnsaːfir ˈʕa lˈʔurdun alʔusˈbuːʕ alˈʒaːj	We'll travel to Jordan next week.	jim;hamza;pharyngeal;long_vowel;statement	raḥ future particle (cowell1964); n-imperfect 1pl nsāfir; il-jāy 'the coming (next)' active participle with ج=/ʒ/ urban (almbark2015)
ar-PS-018	أَلُو، مِين مَعِي؟	ألو، مين معي؟	ˈʔaluː ˈmiːn ˈmaʕiː	Hello, who's this? (on the phone)	hamza;pharyngeal;long_vowel;question	alo telephone-opener; mīn 'who' (cowell1964); maʕi 'with me'
ar-PS-019	أَهْلَا وْسَهْلَا، نَوَّرْت!	أهلا وسهلا، نورت!	ˈʔahlaː ˈwsahlaː nawˈwart	Welcome! You've lit up the place.	hamza;geminate;long_vowel;statement	ahlan wa-sahlan welcome formula; nawwart 'you have brightened (the place)' hospitality response, geminate /ww/ kept unmonophthongized (cowell1964)
ar-PS-020	الصَّبِر مِفْتَاح الْفَرَج.	الصبر مفتاح الفرج.	ˈɑsˤsˤɑbir mifˈtaːħ ˈalfaraʒ	Patience is the key to relief.	jim;sun_assim;emphatic;pharyngeal;long_vowel;statement	proverb iṣ-ṣabr miftāḥ il-faraj; sun assimilation aṣ-ṣ in الصَّبِر; ج=/ʒ/ urban in il-faraj (almbark2015)
